B) Year Established,Unnamed: 224,Unnamed: 141,Unnamed: 52,W) Measurement Instruments Used,Subagency,Unnamed: 43,Unnamed: 237,I4) Adult Learners Targeted?,Unnamed: 106,Unnamed: 13,Agency,Y3) Process or Implementation Evaluation Type,Unnamed: 252,Unnamed: 21,Unnamed: 222,Unnamed: 92,Y1) Formative Evaluation Type,Unnamed: 34,U) Measured Outputs,Unnamed: 139,Q) Legislation Required to Shift Focus?,J) Focus on Underrepresented Groups in STEM,Unnamed: 94,Unnamed: 99,G3) Research Approaches Not Used,Unnamed: 20,I1) STEM Learners Targeted? Specify.,S) Investment Partnerships,Unnamed: 145,Unnamed: 26,Unnamed: 18,Y2) Summative Evaluation Type,Unnamed: 46,N) STEM Discipline Focus,Unnamed: 226,Y4) Portfolio Evaluation/Review Type,Unnamed: 131,Unnamed: 41,Unnamed: 15,Unnamed: 39,Unnamed: 217,Unnamed: 253,Unnamed: 38,H) Educational Services or Products Produced,Unnamed: 188,Unnamed: 159,Unnamed: 36,L) Minority Serving Institutions,F1) Primary Investment Objective,Unnamed: 82,Unnamed: 83,Unnamed: 148,Unnamed: 227,Unnamed: 206,T) Partnerships with What Organization Types?,Unnamed: 156,Unnamed: 247,Unnamed: 190,Unnamed: 199,Unnamed: 201,Unnamed: 110,Unnamed: 19,Unnamed: 111, C1) Funding FY2008 , C2) Funding FY2009 , C3) Funding FY2010 
2001,72,123,1,0,31,0,0,0,0,1,7,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16.442999999999998,22.335,21.412
2005,0,73,1,0,20,0,0,2,1,1,1,0,0,0,2,0,0,0,2,0,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.7090000000000001,0.7609999999999999,0.857
2005,0,116,0,0,24,0,0,0,0,1,7,0,0,0,2,29,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.405,0.425,0.445
2008,0,0,0,17,62,0,0,0,0,1,10,1,0,0,0,0,1,0,2,1,2,2,0,0,0,0,0,3,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581,1.209,1.31
2007,0,0,0,0,11,0,0,1,0,1,11,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,41.66,42.6,45.67
2008,0,0,0,0,23,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,2,1,0,1,0,2,3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.245,2.53,3.07
2006,12,0,0,0,10,0,44,0,0,0,11,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,2,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,2,0,0,1,0,1,1,1,0,0,1,1,0,0,0,14.0,14.0,14.0
2008,56,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,1,2,0,1,2,1,0,1,0,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.09,4.68,9.0
2007,0,0,0,64,0,1,0,0,0,0,3,0,0,0,0,0,1,0,2,0,2,2,1,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.45,0.75,0.9
1991,0,133,0,0,56,1,0,1,0,0,7,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,2,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,24,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.096,2.1069999999999998,2.27
2000,54,103,0,0,23,0,0,0,0,1,2,0,0,28,2,0,0,0,2,0,3,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,14.984000000000002,14.309000000000001
2004,62,37,0,0,58,0,0,0,0,1,5,0,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,3,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.849,3.7680000000000002,3.722
1972,86,31,1,0,35,0,0,0,0,0,7,0,0,0,2,38,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.331,14.661,10.144
1988,0,90,0,19,55,0,3,0,0,0,4,0,0,0,1,0,0,1,0,1,3,2,0,0,1,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,30.0,31.0,31.0
1992,30,54,1,0,16,0,0,0,0,0,10,0,0,29,2,0,0,0,2,0,2,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13.93,14.571,14.062000000000001
2008,0,107,0,0,29,0,0,0,0,0,7,0,0,19,0,19,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.924,0.75
1986,0,1,0,0,20,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.9,2.9
2008,0,0,0,0,23,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1.2590000000000001,1.26,1.649
1980,0,9,0,0,16,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,4.3,4.4
2008,0,84,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,1,2,0,0,1,0,1,1,0,1,0,1,1,0,0,0,11.6,13.0,3.7
2003,43,0,0,25,8,0,10,0,0,1,10,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4,1.3019999999999998,1.0
1983,0,101,0,14,11,0,0,1,0,1,11,0,0,0,0,32,0,0,2,0,1,1,0,0,0,0,2,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,11,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,64.45,65.72,65.85
2000,0,0,0,34,62,0,0,0,0,1,10,0,1,0,0,0,0,1,1,0,2,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,4,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0.42700000000000005,0.35600000000000004,0.303
2009,6,0,0,52,62,0,0,0,0,0,10,1,1,6,0,23,1,0,0,0,2,1,0,0,1,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,9,0,1,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.0,0.8240000000000001,0.7340000000000001
1997,0,87,1,0,16,0,0,0,0,1,10,0,0,0,2,0,0,0,2,0,2,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.624,1.6780000000000002,1.585
2003,0,2,0,52,62,0,13,0,0,1,10,1,0,0,0,0,1,0,2,0,2,1,0,0,0,0,2,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,4,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1.2,1.0,1.3
0,55,125,0,0,52,0,0,0,0,0,7,0,0,0,0,31,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.135,2.135,2.24
1999,64,74,0,0,58,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.319,0.292,0.685
1983,0,76,1,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16.577,17.28,19.0
2010,0,0,0,61,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,2,1,0,1,0,2,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0.0,0.0,1.1159999999999999
2001,0,0,1,71,11,0,0,0,0,0,11,0,0,0,0,0,0,1,2,0,1,2,0,1,0,0,0,3,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,2,3,1,0,0,1,0,0,1,1,0,0,0,0,0,0,12.8,13.39,13.35
2007,0,49,1,0,45,1,0,0,0,1,5,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.366,0.46,0.625
2008,33,0,0,43,55,0,0,0,0,0,4,0,0,24,1,0,0,1,1,0,2,1,0,0,1,1,2,4,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,15,0,1,6,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1.0,1.0,1.0
2002,5,0,2,8,13,0,33,1,0,1,11,0,0,9,0,18,1,0,0,0,1,1,0,0,1,1,0,4,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,5.24,7.19,5.7
2006,0,102,0,0,3,0,0,0,0,0,10,0,0,0,2,0,0,0,2,0,3,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,2.4
2003,0,0,0,51,11,1,0,0,0,0,11,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,28.72,27.86,20.85
1999,0,0,0,54,62,0,0,1,0,0,10,1,1,0,0,0,0,0,2,1,2,1,0,0,1,0,2,2,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.921,1.847,1.8230000000000002
2004,67,0,0,0,51,0,0,0,0,1,11,0,1,7,0,0,0,1,0,1,1,1,0,0,1,1,2,3,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2.71,4.22,3.43
2006,0,0,0,18,16,1,31,0,0,0,10,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,5,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1.2819999999999998,0.84,0.706
2010,34,0,1,0,11,0,6,0,0,1,11,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,2,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,37.28,40.86,41.6
2010,0,0,0,17,3,1,0,0,0,0,10,1,0,0,0,0,1,1,2,0,1,2,1,0,0,0,2,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,20,0,1,4,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0.0,0.0,10.0
1994,0,0,1,2,11,0,0,1,0,1,11,0,1,0,1,0,1,0,2,0,1,2,0,0,0,0,2,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,5,1,1,0,1,0,1,1,0,1,1,0,0,1,0,5.93,6.88,6.92
2001,60,115,0,0,41,1,0,0,0,1,5,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3,6.4,5.0
2008,0,0,0,62,33,0,0,0,0,1,7,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.263,0.0,0.7559999999999999
1998,31,61,0,0,11,0,25,0,1,0,11,0,0,0,1,27,0,0,2,1,3,2,1,0,1,0,2,3,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,5,0,0,0,1,0,1,1,0,0,0,0,1,0,1,92.4,61.22,75.96
2008,0,0,0,0,11,0,21,0,0,1,11,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,99.25,108.41,118.38
1992,0,0,1,0,46,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.0,2.0,2.2
2006,40,25,0,0,27,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.0469999999999997,3.168,4.189
1993,0,99,0,67,0,0,43,0,1,0,3,1,0,30,0,0,1,1,2,1,0,2,2,1,0,1,2,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20.0,19.0,20.0
1983,0,0,0,0,11,0,0,0,0,0,11,0,1,0,0,0,0,0,2,0,1,2,1,0,1,0,2,3,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,1,1,5.57,5.15,5.18
0,0,41,0,0,34,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,70.563,83.426,68.98100000000001
1998,0,94,0,0,37,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.6
1998,49,97,0,0,57,1,0,0,0,1,5,1,0,15,0,0,0,0,2,0,2,1,0,0,0,1,2,3,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,3,6,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.7340000000000001,0.774,0.774
2006,52,0,0,0,62,0,37,1,0,1,10,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,3,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,4,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0.35,0.35,0.345
1997,0,0,0,57,62,1,0,1,0,1,10,1,0,0,0,0,1,1,2,0,1,2,1,0,1,0,2,3,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5519999999999998,1.7,1.6480000000000001
2003,50,0,0,48,19,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,76.295,52.216,63.81399999999999
2007,0,4,0,0,60,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,3,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.8,3.4
2001,40,23,0,0,27,0,0,0,0,1,7,0,0,0,0,0,0,0,2,0,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.47600000000000003,0.486,0.47600000000000003
1993,0,42,0,0,64,0,0,0,0,1,9,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49200000000000005,0.519,0.5660000000000001
2010,24,0,0,23,50,0,18,0,0,0,4,1,1,0,0,0,1,0,2,0,2,2,1,0,1,0,2,4,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0.0,0.0,110.5
0,0,0,0,66,62,0,0,1,0,1,10,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,6,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0.22899999999999998,0.575,0.495
2008,68,88,0,0,32,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.254,0.713,0.821
2007,0,55,0,0,60,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,2.5,2.5
2003,0,0,0,72,62,0,26,0,0,0,10,1,0,0,0,0,0,1,2,0,2,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,12,0,1,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0.0,4.396,3.0
2007,0,82,0,0,2,0,0,0,0,0,10,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,1.8,1.8
2004,0,114,0,29,15,0,49,1,0,0,10,0,0,0,0,0,0,0,2,1,2,2,1,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.3,0.3,0.3
2006,0,0,0,0,54,0,17,1,0,0,11,0,0,18,0,33,0,0,2,1,1,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.29,2.42,1.38
1980,0,16,0,0,18,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.642,0.648,0.652
2000,0,15,0,0,52,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.6,16.6,16.7
1997,0,64,0,68,56,0,0,0,0,1,7,0,0,0,0,0,0,1,2,1,2,1,0,0,1,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7609999999999999,0.358,0.342
2009,0,89,0,0,49,0,0,0,0,0,12,0,0,0,2,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.4,6.6
2006,0,106,1,0,33,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.439,2.8789999999999996,1.443
1994,46,124,0,0,52,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5.775,5.115,5.869
2003,0,0,0,39,6,1,0,0,0,0,10,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,6,0,1,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1.203,3.113,2.988
1993,25,0,0,11,11,1,22,1,0,1,11,1,0,14,0,10,0,0,2,0,1,1,0,0,1,1,2,1,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,5,1,0,1,0,1,1,1,1,0,1,1,1,1,1,51.46,51.85,64.51
1975,45,68,0,0,34,0,0,0,0,0,7,0,0,0,2,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,47.571000000000005,55.552,56.883
1988,73,0,0,58,44,1,42,0,0,1,5,0,1,25,0,0,0,0,2,0,1,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,7,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1.3869999999999998,1.75,2.0
1995,0,0,0,5,13,2,0,0,0,0,11,0,0,0,0,15,0,0,0,0,1,1,0,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.1,1.12,1.1
1993,83,127,1,0,31,0,0,0,0,1,7,0,0,0,2,40,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.995,7.26,6.461
1995,0,3,1,0,55,1,0,0,0,1,4,0,0,0,2,0,0,0,2,0,3,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,5,1,1,0,0,0,0,0,1,0,0,0,1,1,1,100.0,100.0,100.0
1990,78,67,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.758,0.966,0.9
2008,0,78,0,38,16,0,34,1,0,0,10,1,0,11,0,0,0,0,2,0,3,1,0,0,0,1,2,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,4,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0,0,0,7.8,7.0,7.0
1994,0,53,0,0,16,0,0,0,0,0,10,0,0,0,2,0,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.8,1.7
2003,0,0,0,0,29,0,0,0,0,1,7,0,0,0,0,20,0,1,0,1,3,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.7,10.1,10.4
2001,0,111,0,0,23,0,0,0,0,1,2,0,0,0,2,0,0,0,2,0,3,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46799999999999997,0.62,0.603
1998,0,0,0,50,11,0,12,0,0,1,11,0,0,0,1,25,0,0,2,0,1,2,2,1,0,0,2,2,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,7,0,1,0,0,1,1,1,0,1,0,1,1,1,1,15.85,17.18,16.73
1991,0,118,0,0,18,0,0,0,0,1,13,0,0,0,2,0,0,0,2,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9609999999999999,1.989,2.006
1991,17,77,0,31,26,1,0,1,0,1,7,0,0,13,1,8,0,0,2,0,2,2,1,1,0,1,2,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,4,0,0,0,1,1,1,1,1,1,1,1,0,1,0,16.183,22.209,18.324
1992,0,18,0,32,33,0,0,1,0,1,7,0,0,0,0,13,0,0,2,0,2,1,0,0,0,0,2,4,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,4,1,0,1,1,0,1,1,1,0,1,0,0,1,0,2.164,2.464,2.295
2010,1,86,0,37,16,0,1,1,0,1,10,1,0,0,0,0,0,0,2,1,2,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,17,0,1,3,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0.0,0.0,2.0
2001,0,91,0,17,23,0,45,0,0,1,2,1,0,0,0,0,1,1,2,0,3,1,0,0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,6,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0.0,0.9,0.9
2008,42,0,1,40,16,0,20,0,0,0,10,0,1,16,0,0,0,0,2,0,1,1,0,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.4,3.0,3.0
